name,count
農林水産業,96777
行財政,47496
司法・安全・環境,44875
企業・家計・経済,28641
教育・文化・スポーツ・生活,28012
情報通信・科学技術,20507
人口・世帯,19872
住宅・土地・建設,12329
社会保障・衛生,9975
労働・賃金,9638
エネルギー・水,7369
国土・気象,6442
国際,5767
鉱工業,4470
商業・サービス業,2690
その他,2138
運輸・観光,1245
