ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/env_20140904_0428/resource/a2ff7784-8a49-4426-8a9d-53674982f03c,http://www.biodic.go.jp/trialSystem/Data/index.kmz,CC-BY,自然環境情報GIS提供システム_KMLデータ閲覧,自然環境情報 GISデータダウンロード,,KMZ,2014-09-19T11:32:52.134937,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0945/resource/c21ca6ef-b846-417e-b3a7-6cb04814c7b7,http://www.shiokaze.biodic.go.jp/data/25sokuhou/h25-1veg_genchi.kmz,CC-BY,平成25年度　調査情報_（１）植生調査,現地調査地点_kml,,KMZ,2014-09-19T11:35:01.135604,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0946/resource/1d1a2fb6-f3f6-4ca6-8119-dcbc181df561,http://www.shiokaze.biodic.go.jp/data/25sokuhou/h25-2focal_chiten.kmz,CC-BY,平成25年度　調査情報_（２）重点地区調査,調査地点位置_kml,,KMZ,2014-09-19T11:35:02.279585,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0946/resource/451c7d90-e2fd-4aca-b94d-02082c12591b,http://www.shiokaze.biodic.go.jp/data/25sokuhou/h25-2focal_kubun.kmz,CC-BY,平成25年度　調査情報_（２）重点地区調査,環境区分位置_kml,,KMZ,2014-09-19T11:35:02.279592,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0946/resource/b6f39be4-df30-49b2-b298-b85829cd69e5,http://www.shiokaze.biodic.go.jp/data/25sokuhou/h25-2focal_belt_transect.kmz,CC-BY,平成25年度　調査情報_（２）重点地区調査,ベルトトランセクト_kml,,KMZ,2014-09-19T11:35:02.279599,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0947/resource/a2c3bccb-5510-4b3a-9b0c-6319fbfa69ed,http://www.shiokaze.biodic.go.jp/data/25sokuhou/h25-3newky_wetlands_chiten.kmz,CC-BY,平成25年度　調査情報_（３）新たに出現した湿地の調査,調査地点位置_kml,,KMZ,2014-09-19T11:35:03.448254,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0960/resource/902b34e4-8fb7-4196-8678-e5e292887f10,http://www.biodic.go.jp/Tohoku_Portal/data/shizen_kiso/18moba/moba.kmz,CC-BY,平成24年度　調査情報_藻場分布情報,1996年・1999年・2006年[KML]（11.5KB）,,KMZ,2014-09-19T11:35:18.886264,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0963/resource/9369ff99-126c-4057-809d-9549bdc8086e,http://www.biodic.go.jp/Tohoku_Portal/data/moni/moni.kmz,CC-BY,平成24年度　調査情報_調査結果,23サイト[KML]（3.90KB）,,KMZ,2014-09-19T11:35:22.370463,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0964/resource/4114a7e2-2e3b-414c-995d-a16b4540bb17,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_01_424/KMZ/before_veg_02_424.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_下北郡東通村,震災前植生図_kml/kmzデータ,,KMZ,2014-09-19T11:35:23.502704,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0964/resource/d442e0c4-baaa-422a-9b5b-dd1efe5470d2,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_01_424/KMZ/after_veg_02_424.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_下北郡東通村,震災後植生図_kml/kmzデータ,,KMZ,2014-09-19T11:35:23.502719,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0964/resource/ade7aefc-9c0b-4589-99ab-805b71498e17,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_01_424/KMZ/kaihen_02_424.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_下北郡東通村,植生改編図_kml/kmzデータ,,KMZ,2014-09-19T11:35:23.502733,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0965/resource/1f19e732-ed5a-4364-a2b4-a0eed1a67b80,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_02_411/KMZ/before_veg_02_411.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_上北郡六ヶ所村,震災前植生図_kml/kmzデータ,,KMZ,2014-09-19T11:35:24.742455,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0965/resource/70fa0cd0-5f11-4c62-909e-75637b45ee60,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_02_411/KMZ/after_veg_02_411.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_上北郡六ヶ所村,震災後植生図_kml/kmzデータ,,KMZ,2014-09-19T11:35:24.742478,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0965/resource/40e4ad6f-5554-4ad0-8fc8-e58ad38bf62c,http://www.shiokaze.biodic.go.jp/data/24tohoku/02_Aomori/02_02_411/KMZ/kaihen_02_411.kmz,CC-BY,平成24年度東北地方太平洋沿岸地域自然環境調査_青森県_上北郡六ヶ所村,植生改編図_kml/kmzデータ,,KMZ,2014-09-19T11:35:24.742502,environment;geospatial;地理空間;環境,司法・安全・環境,環境省
