ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/cas_20140901_0032/resource/e91391be-8808-48de-9b2d-40d3262d7e99,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/roadmap.doc,CC-BY,電子行政オープンデータ推進のためのロードマップ,電子行政オープンデータ推進のためのロードマップ（Word形式（本体））,,DOC,2014-09-19T09:35:17.762556,オープンデータ;ロードマップ,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0033/resource/2cee7e70-2b1f-48bc-aea2-f251b200d83d,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/gl_honbun.doc,CC-BY,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）（本体：Word形式）,,DOC,2014-09-19T09:35:18.824058,オープンデータ;ガイドライン,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0033/resource/e9cbafc0-a732-47e8-956c-84d9b6246ad7,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/gl_betten.doc,CC-BY,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）（別添：Word形式）,,DOC,2014-09-19T09:35:18.824069,オープンデータ;ガイドライン,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0034/resource/3a6f4d29-80fc-4ab0-95aa-4da1b42f67a4,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/act_plan1.doc,CC-BY,日本のオープンデータ憲章アクションプラン,日本のオープンデータ憲章アクションプラン（Word形式（本体））,,DOC,2014-09-19T09:35:19.862288,G8;アクションプラン;オープンデータ,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0034/resource/890bb9f9-6350-4258-81b5-260f11a67d65,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/act_plan2.doc,CC-BY,日本のオープンデータ憲章アクションプラン,日本のオープンデータ憲章アクションプラン（Word形式（別添））,,DOC,2014-09-19T09:35:19.862295,G8;アクションプラン;オープンデータ,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0035/resource/b16d7ba7-fafd-4c84-b95b-d10af60a87d0,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/act_plan1_en.doc,CC-BY,Japan Open Data Charter Action Plan,Japan Open Data Charter Action Plan(substance)(Word),,DOC,2014-09-19T09:35:20.949066,ActionPlan;G8;Open Data,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0035/resource/cb5d0a5d-96ff-4cfd-8587-b054e78d885f,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/act_plan2_en.doc,CC-BY,Japan Open Data Charter Action Plan,Japan Open Data Charter Action Plan(ANNEX)(Word),,DOC,2014-09-19T09:35:20.949075,ActionPlan;G8;Open Data,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0036/resource/d08820e2-0f74-4c75-9bc3-7220ddad14d3,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/gl_betten_1.doc,CC-BY,政府標準利用規約（第1.0版）,政府標準利用規約（第1.0版）_Word形式,,DOC,2014-09-19T09:35:22.148564,オープンデータ,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0036/resource/cd34881f-2ea1-420f-8bd0-d27fc5973c7e,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/gl_betten_1_kaisetu.doc,CC-BY,政府標準利用規約（第1.0版）,政府標準利用規約（第1.0版）の解説_Word形式,,DOC,2014-09-19T09:35:22.148578,オープンデータ,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20140901_0037/resource/711d42b5-0d2e-40cc-b81d-224245f85f1c,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/gl_betten_1_en.doc,CC-BY,Government of Japan Standard Terms of Use (Version 1.0),Government of Japan Standard Terms of Use (Version 1.0)_Word,,DOC,2014-09-19T09:35:23.200363,Open Data,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20170207_0001/resource/58815514-6098-4555-8261-4e865877c360,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/data/gl27_honbun.doc,CC-BY,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）（本体：Word形式）,,DOC,2017-02-13T09:57:16.608499,オープンデータ;ガイドライン,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20170207_0001/resource/73578ce2-d503-4ba4-a68a-ed726842b84f,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/data/gl27_betten_1.doc,CC-BY,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）（別添１：Word形式）,,DOC,2017-02-13T09:57:16.608521,オープンデータ;ガイドライン,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20170207_0001/resource/0620263c-9eed-4805-8f83-01503fd108bf,http://www.kantei.go.jp/jp/singi/it2/densi/kettei/data/gl26_betten2.doc,CC-BY,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）,二次利用の促進のための府省のデータ公開に関する基本的考え方（ガイドライン）（別添２：Word形式）,,DOC,2017-02-13T09:57:16.608533,オープンデータ;ガイドライン,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/env_20140904_0626/resource/df50f244-4dcd-4b17-9c36-d70c89fec607,http://www.env.go.jp/guide/financial/h19/aggregation.doc,CC-BY,平成19年度_平成１９年度環境省省庁別財務書類,一般・特別合算_[Word 1.02MB],,DOC,2014-09-19T11:18:43.970871,budgets and final_accounts and procurement;予算_決算_調達関連情報,行財政,環境省
https://www.data.go.jp/data/dataset/env_20140904_0626/resource/72e029ef-dfa6-4d56-8d33-d5ec0ca4cac0,http://www.env.go.jp/guide/financial/h19/consolidation.doc,CC-BY,平成19年度_平成１９年度環境省省庁別財務書類,連結_[Word 133KB],,DOC,2014-09-19T11:18:43.970884,budgets and final_accounts and procurement;予算_決算_調達関連情報,行財政,環境省
https://www.data.go.jp/data/dataset/env_20140904_0626/resource/d122545d-5060-426e-a5ba-0c280fb2460a,http://www.env.go.jp/guide/financial/h19/general.doc,CC-BY,平成19年度_平成１９年度環境省省庁別財務書類,一般会計_[Word 937KB],,DOC,2014-09-19T11:18:43.970898,budgets and final_accounts and procurement;予算_決算_調達関連情報,行財政,環境省
https://www.data.go.jp/data/dataset/env_20140904_0626/resource/1eef8739-dd26-4cdd-b820-69433366825e,http://www.env.go.jp/guide/financial/h19/special.doc,CC-BY,平成19年度_平成１９年度環境省省庁別財務書類,特別会計_[Word 67KB],,DOC,2014-09-19T11:18:43.970911,budgets and final_accounts and procurement;予算_決算_調達関連情報,行財政,環境省
https://www.data.go.jp/data/dataset/env_20140904_0799/resource/6867c53f-1776-4ee3-b036-94c0a69e054f,https://www.data.go.jp/img/download_file/resource/env13code_84.doc,CC-BY,測定局コード,測定局コード,,DOC,2014-09-26T15:39:38.270387,code;コード,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0800/resource/88d82595-86bb-4946-9010-84a6338a280f,https://www.data.go.jp/img/download_file/resource/env13code_85.doc,CC-BY,有害大気汚染物質測定地点コード,有害大気汚染物質測定地点コード,,DOC,2014-09-26T15:39:39.291680,code;コード,司法・安全・環境,環境省
