ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/cas_20180312_0002/resource/bb239737-026d-4238-97ec-edca8c7431e5,https://cio.go.jp/sites/default/files/uploads/documents/xxxxxx_school_food_%20services.zip,CC-BY,推奨データセット,推奨データセットフォーマット標準例_A-2.学校給食献立情報_CSV形式,食品等営業許可・届出一覧（新規許可・届出一覧）のCSV形式のフォーマットです。,ZIP,2020-12-07T05:42:59.776879,オープンデータ;フォーマット;地方公共団体;地方自治体;民間事業者,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180312_0002/resource/0fc6e37f-f313-467c-9266-861b4ad4b02e,https://cio.go.jp/sites/default/files/uploads/documents/xxxxxx_school_area_csv.zip,CC-BY,推奨データセット,推奨データセットフォーマット標準例_A-3.小中学校通学区域情報_CSV形式,食品等営業許可・届出一覧（新規許可・届出一覧）のCSV形式のフォーマットです。,ZIP,2020-12-07T05:42:59.776885,オープンデータ;フォーマット;地方公共団体;地方自治体;民間事業者,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/env_20140904_0435/resource/cab693c7-36b5-4b21-ac21-11569f5cf8c4,http://www.biodic.go.jp/trialSystem/Data/SHP/nps/nps_all.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_国立公園区域等,国立公園区域等,,ZIP,2014-09-19T11:33:02.359785,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0436/resource/dc6259d1-3761-412c-9467-e0c050d7de27,http://www.biodic.go.jp/trialSystem/info/nwp_all_2.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_国指定鳥獣保護区区域等,国指定鳥獣保護区区域等,,ZIP,2014-09-19T11:33:03.553846,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/2b268c5c-bf80-435a-a7f7-57da4ce7ff08,http://www.biodic.go.jp/trialSystem/Data/SHP/51.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,釧路・根室支所,,ZIP,2014-09-19T11:33:04.916585,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/bbb9ce86-2f53-4371-974c-1ec2fb12dbb3,http://www.biodic.go.jp/trialSystem/Data/SHP/52.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,網走支所,,ZIP,2014-09-19T11:33:04.916618,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/cf41fde8-f929-49c2-a733-03bf09b953f0,http://www.biodic.go.jp/trialSystem/Data/SHP/53.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,十勝・日高支所,,ZIP,2014-09-19T11:33:04.916626,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/095c564c-a378-4a98-810e-c79d29f030d1,http://www.biodic.go.jp/trialSystem/Data/SHP/54.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,留萌・宗谷支所,,ZIP,2014-09-19T11:33:04.916634,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/b3cdb572-8a5b-40ef-a840-811c7c995e40,http://www.biodic.go.jp/trialSystem/Data/SHP/55.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,上川・空知支所,,ZIP,2014-09-19T11:33:04.916640,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/99f388c4-967b-4254-a751-b53a7d7f7f64,http://www.biodic.go.jp/trialSystem/Data/SHP/56.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,石狩・胆振・後志支所,,ZIP,2014-09-19T11:33:04.916647,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/15e620f5-e43a-4e29-97a6-57ce451a4e7a,http://www.biodic.go.jp/trialSystem/Data/SHP/57.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,檜山・渡島支所,,ZIP,2014-09-19T11:33:04.916654,geospatial;地理空間,司法・安全・環境,環境省
https://www.data.go.jp/data/dataset/env_20140904_0437/resource/3c322321-cf7f-4e9b-b330-1b7f900d3e3d,http://www.biodic.go.jp/trialSystem/Data/SHP/02.zip,CC-BY,自然環境情報GIS提供システム_shapeデータダウンロード_都道府県別一括ダウンロード,青森県,,ZIP,2014-09-19T11:33:04.916661,geospatial;地理空間,司法・安全・環境,環境省
