ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/mhlw_20140917_1074/resource/a09f0c1d-e936-48e4-8fd9-2db57b0c0dc1,http://www4.dinf.ne.jp/jiritu2/menu1.php,CC-BY,障害者福祉_調査事業等の公募_2 障害者自立支援調査研究プロジェクト,(3)障害者自立支援調査研究プロジェクトデータベース,,php,2014-09-20T22:19:49.488376,medical and health_care_and_welfare;organization and institution;social_mobility and welfare;医療_福祉;社会的流動性と福祉;組織_制度の概要,社会保障・衛生,厚生労働省
https://www.data.go.jp/data/dataset/mlit_20140919_0728/resource/fcfe8bd9-358f-4959-abc5-bc4ee7414314,https://www.data.jma.go.jp/stats/etrn/index.php,政府標準利用規約（第 2.0 版）,気象観測_過去の気象データ検索,過去の気象データ検索,"過去の地点ごとの気温や降水量などの観測データ、平年値、観測史上1～10位の値を検索できます。
また、歴代全国ランキングやメッシュ平年値図もご覧になれます。",php,2014-09-21T00:02:35.600331,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20140919_0728/resource/1ce88c92-bd07-46a9-ae29-a1559fcce1d2,https://www.data.jma.go.jp/stats/etrn/upper/index.php,政府標準利用規約（第 2.0 版）,気象観測_過去の気象データ検索,過去の気象データ検索(高層),過去の地点ごとの高層気象観測データ、平年値、観測史上1～10位の値を検索できます。,php,2014-09-21T00:02:35.600380,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20140919_0736/resource/bdb5f9e2-48bc-42e9-9b3f-a18d5c890c5d,https://www.data.jma.go.jp/kaiyou/db/tide/genbo/index.php,政府標準利用規約（第 2.0 版）,気候・海洋・地球環境_海洋の健康診断表_定期診断表,潮汐観測資料,全国各地における潮汐観測地点で観測したデータを掲載しています。,php,2018-09-21T16:44:04.193391,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20140919_0736/resource/c36f1fce-f218-40cd-9d8d-a16a856dcb31,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/index.php,政府標準利用規約（第 2.0 版）,気候・海洋・地球環境_海洋の健康診断表_定期診断表,潮位表,全国各地における潮位の予測値（天文潮位）を掲載しています。,php,2018-09-21T16:44:04.193398,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20140919_0736/resource/0dfafc5d-2020-4a26-b87d-3e3ce0e32068,https://www.data.jma.go.jp/kaiyou/db/vessel_obs/data-report/html/ship/ship.php,政府標準利用規約（第 2.0 版）,気候・海洋・地球環境_海洋の健康診断表_定期診断表,海洋気象観測船の観測資料,海洋気象観測船による海洋・海上気象観測資料を掲載しています。,php,2018-09-21T16:44:04.193435,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20151130_0404/resource/55fb83d4-5c07-417d-8fd7-5235cd6349b7,https://www.data.jma.go.jp/risk/obsdl/index.php,政府標準利用規約（第 2.0 版）,気象観測_過去の気象データ・ダウンロード,過去の気象データ・ダウンロード,"過去の気象データについて、観測地点、気温・降水量などの観測データの種類、期間をそれぞれ指定してデータを表示及びCSV形式でダウンロードができます。
",php,2015-12-08T19:30:19.477993,climate;disaster;disaster_prevention_and_mitigation;earth_observation;environment;government_except_elsewhere_classified;statistics;交通;公務_他に分類されるものを除く;地球観測;気象;災害;環境;産業;統計;観測;防災_減災関連情報,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20200608_0094/resource/6f27bbb9-9b5a-4da1-92af-0c09f82e7e3d,https://positions.gsi.go.jp/cdcs/,政府標準利用規約（第 2.0 版）,定常時地殻変動補正システム,定常時地殻変動補正システム　補正計算サイト,"準天頂衛星システム「みちびき」のセンチメータ級測位補強サービス(CLAS)や精密単独測位(PPP)などを利用した高精度な測位情報を、国家座標と整合させるための補正計算や定常時地殻変動補正パラメータのダウンロードが可能なウェブサイト。
",php,2020-06-15T03:27:34.688955,geospatial;land;maps;国土;国家座標;地図;地殻変動;地理空間;高精度測位,国土・気象,国土交通省
