ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/soumu_20140909_0284/resource/29d7b912-63db-4cc6-b257-6ed719874a60,https://www.fdma.go.jp/publication/database/database002.html,CC-BY,震災対策ＤＶＤビデオシリーズ_平成20年度 防災学習ＤＶＤビデオ『地震だ！その時どうする？』,ブロードバンド,,asx,2014-09-20T21:09:49.338072,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20140909_0284/resource/ae56c36b-a763-4df7-b48e-f9a36db0e6bb,https://www.fdma.go.jp/publication/database/database002.html,CC-BY,震災対策ＤＶＤビデオシリーズ_平成20年度 防災学習ＤＶＤビデオ『地震だ！その時どうする？』,ナローバンド,,asx,2021-03-26T01:31:47.855462,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20140909_0285/resource/181638ac-6914-4c9c-ae05-f7b214031ece,https://www.fdma.go.jp/publication/database/database004.html,CC-BY,震災対策DVDビデオシリーズ_平成21年度 防災学習ＤＶＤビデオ『ふせごう‐家具等の転倒防止対策‐』,ブロードバンド,,asx,2014-09-20T21:09:50.667627,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20140909_0285/resource/3518168a-267d-47aa-8800-cb0a3d31974d,https://www.fdma.go.jp/publication/database/database004.html,CC-BY,震災対策DVDビデオシリーズ_平成21年度 防災学習ＤＶＤビデオ『ふせごう‐家具等の転倒防止対策‐』,ナローバンド,,asx,2021-03-26T01:31:49.328824,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20140909_0286/resource/a6810ec6-4b1a-4cc9-9c60-6a832f4073ec,https://www.fdma.go.jp/publication/database/database005.html,CC-BY,震災対策DVDビデオシリーズ_平成22年度 防災学習ＤＶＤビデオ『津波から生き延びるために-知る・行動する-』,ブロードバンド,,asx,2014-09-20T21:09:52.697020,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20140909_0286/resource/6345fff2-8970-4afe-a164-2bf882f661b2,https://www.fdma.go.jp/publication/database/database005.html,CC-BY,震災対策DVDビデオシリーズ_平成22年度 防災学習ＤＶＤビデオ『津波から生き延びるために-知る・行動する-』,ナローバンド,,asx,2021-03-26T01:31:50.769499,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20200827_0002/resource/f2607c71-f4af-4302-92e0-5a5152937413,https://www.fdma.go.jp/publication/database/database002.html,CC-BY,震災対策ＤＶＤビデオシリーズ_平成20年度 防災学習ＤＶＤビデオ『地震だ！その時どうする？』,ナローバンド,,asx,2020-09-08T02:59:28.856442,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20200827_0003/resource/bca2fb08-c6b3-482e-ae3f-5c05e26c18cf,https://www.fdma.go.jp/publication/database/database004.html,CC-BY,震災対策DVDビデオシリーズ_平成21年度 防災学習ＤＶＤビデオ『ふせごう‐家具等の転倒防止対策‐』,ナローバンド,,asx,2020-09-08T02:59:30.997074,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
https://www.data.go.jp/data/dataset/soumu_20200827_0004/resource/bc9c2d42-aa50-412f-aa7b-4551fd1f4301,https://www.fdma.go.jp/publication/database/database005.html,CC-BY,震災対策DVDビデオシリーズ_平成22年度 防災学習ＤＶＤビデオ『津波から生き延びるために-知る・行動する-』,ナローバンド,,asx,2020-09-08T02:59:33.125347,disaster;disaster_prevention_and_mitigation;security;安全;消防;災害;防災;防災_減災関連情報,司法・安全・環境,総務省
