ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/f2df1d62-ba3a-4287-a84e-ac0d390f2405,https://www.hokoukukan.go.jp/metadata/resource/175,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,渋谷地区データ（ｇｉｓ形式）,渋谷地区における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-03-16T18:42:06.807357,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/c931442d-3c1a-4619-aa40-02fc46b9435e,https://www.hokoukukan.go.jp/metadata/resource/171,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,新横浜地区データ（ｇｉｓ形式）,新横浜地における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-03-16T18:42:06.807371,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/41f1d866-d2d3-4475-8f8b-9ee87db948fa,https://www.hokoukukan.go.jp/metadata/detail/69,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,皇居外苑、日本武道館を含む千代田区、中央区周辺データ（ｇｉｓ形式）,新横浜地における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-05-30T16:38:16.980420,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/48e6c03b-28a7-4462-9894-9d4d100e0607,https://www.hokoukukan.go.jp/metadata/detail/70,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,会津若松市データ（ｇｉｓ形式）,新横浜地における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-05-30T16:38:16.980436,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/43d7c5e8-6dcf-44da-bfc8-aa2000e29003,https://www.hokoukukan.go.jp/metadata/detail/71,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,姫路市データ（ｇｉｓ形式）,新横浜地における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-05-30T16:38:16.980449,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/db170631-930f-4760-b0fd-c6eeaca9afd3,https://www.hokoukukan.go.jp/metadata/detail/81,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,歩行空間ネットワークデータ（新宿駅周辺） （2018年3月版適用）（gis形式）,新宿駅周辺における歩行空間ネットワークデータ（gis形式）,SHP,2018-12-10T17:47:52.957720,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/41783cd0-fb5d-44f2-8110-f912c948f5fa,https://www.hokoukukan.go.jp/metadata/detail/80,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,歩行空間ネットワークデータ（東京駅周辺） （2018年3月版適用）（ｇｉｓ形式）,東京駅周辺における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2018-12-10T17:47:52.957758,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/ac3bd7e9-47d2-4341-9fbb-f9c750c6703d,https://www.hokoukukan.go.jp/metadata/resource/234,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,歩行空間ネットワークデータ（池袋駅周辺） （2018年3月版適用）（ｇｉｓ形式）,東京駅周辺における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2019-02-13T13:07:42.274704,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/a550224d-f57e-44d6-8404-3eeff6f1f8c6,https://www.hokoukukan.go.jp/metadata/resource/241,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,歩行空間ネットワークデータ（台東区上野駅周辺） （2018年3月版適用）（ｇｉｓ形式）,上野駅周辺における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2019-06-10T15:28:48.985497,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
https://www.data.go.jp/data/dataset/mlit_20150223_0105/resource/48ce721e-6af4-4220-ada0-31f77fd2dd39,https://www.hokoukukan.go.jp/metadata/resource/238,政府標準利用規約（第 2.0 版）,歩行空間ネットワークデータ,歩行空間ネットワークデータ（港区大門駅周辺） （2018年3月版適用）（ｇｉｓ形式）,大門駅周辺における歩行空間ネットワークデータ（ｇｉｓ形式）,SHP,2019-06-10T15:28:48.985514,geospatial;land;maps;国土;地図;地理空間;大会を通じた新しい日本の創造,国土・気象,国土交通省
